code,problem_name,score,contest_name,link,time_limit,memory_limit
agc010_a,A - Addition,300,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_a,2,256 MB
agc010_b,B - Boxes,500,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_b,2,256 MB
agc010_c,C - Cleaning,700,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_c,2,256 MB
agc010_d,D - Decrementing,1000,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_d,2,256 MB
agc010_e,E - Rearranging,1600,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_e,2,256 MB
agc010_f,F - Tree Game,1600,agc010,https://beta.atcoder.jp/contests/agc010/tasks/agc010_f,2,256 MB
agc011_a,A - Airport Bus,300,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_a,2,256 MB
agc011_b,B - Colorful Creatures,400,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_b,2,256 MB
agc011_c,C - Squared Graph,800,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_c,2,256 MB
agc011_d,D - Half Reflector,900,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_d,2,256 MB
agc011_e,E - Increasing Numbers,1300,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_e,2,256 MB
agc011_f,F - Train Service Planning,1700,agc011,https://beta.atcoder.jp/contests/agc011/tasks/agc011_f,2,256 MB
agc012_a,A - AtCoder Group Contest,300,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_a,2,256 MB
agc012_b,B - Splatter Painting,700,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_b,2,256 MB
agc012_c,C - Tautonym Puzzle,1000,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_c,2,256 MB
agc012_d,D - Colorful Balls,1000,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_d,2,256 MB
agc012_e,E - Camel and Oases,1000,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_e,2,256 MB
agc012_f,F - Prefix Median,2000,agc012,https://beta.atcoder.jp/contests/agc012/tasks/agc012_f,2,256 MB
agc013_a,A - Sorted Arrays,300,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_a,2,256 MB
agc013_b,B - Hamiltonish Path,500,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_b,2,256 MB
agc013_c,C - Ants on a Circle,700,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_c,2,256 MB
agc013_d,D - Piling Up,900,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_d,2,256 MB
agc013_e,E - Placing Squares,1600,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_e,3,256 MB
agc013_f,F - Two Faced Cards,2000,agc013,https://beta.atcoder.jp/contests/agc013/tasks/agc013_f,2,256 MB
agc014_a,A - Cookie Exchanges,300,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_a,2,256 MB
agc014_b,B - Unplanned Queries,500,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_b,2,256 MB
agc014_c,C - Closed Rooms,700,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_c,2,256 MB
agc014_d,D - Black and White Tree,900,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_d,2,256 MB
agc014_e,E - Blue and Red Tree,1400,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_e,6,256 MB
agc014_f,F - Strange Sorting,2400,agc014,https://beta.atcoder.jp/contests/agc014/tasks/agc014_f,2,256 MB
agc015_a,A - A&#43;...&#43;B Problem,200,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_a,2,256 MB
agc015_b,B - Evilator,400,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_b,2,256 MB
agc015_c,C - Nuske vs Phantom Thnook,700,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_c,4,256 MB
agc015_d,D - A or...or B Problem,900,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_d,2,256 MB
agc015_e,E - Mr.Aoki Incubator,1200,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_e,2,256 MB
agc015_f,F - Kenus the Ancient Greek,1700,agc015,https://beta.atcoder.jp/contests/agc015/tasks/agc015_f,5,256 MB
agc016_a,A - Shrinking,300,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_a,2,256 MB
agc016_b,B - Colorful Hats,700,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_b,2,256 MB
agc016_c,C - &#43;/- Rectangle,700,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_c,2,256 MB
agc016_d,D - XOR Replace,1000,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_d,2,256 MB
agc016_e,E - Poor Turkeys,1400,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_e,2,256 MB
agc016_f,F - Games on DAG,1600,agc016,https://beta.atcoder.jp/contests/agc016/tasks/agc016_f,5,256 MB
agc017_a,A - Biscuits,200,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_a,2,256 MB
agc017_b,B - Moderate Differences,400,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_b,2,256 MB
agc017_c,C - Snuke and Spells,1000,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_c,2,256 MB
agc017_d,D - Game on Tree,1100,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_d,2,256 MB
agc017_e,E - Jigsaw,1200,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_e,2,256 MB
agc017_f,F - Zigzag,1600,agc017,https://beta.atcoder.jp/contests/agc017/tasks/agc017_f,4,256 MB
agc018_a,A - Getting Difference,300,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_a,2,256 MB
agc018_b,B - Sports Festival,700,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_b,2,256 MB
agc018_c,C - Coins,800,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_c,2,256 MB
agc018_d,D - Tree and Hamilton Path,1100,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_d,2,256 MB
agc018_e,E - Sightseeing Plan,1600,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_e,8,256 MB
agc018_f,F - Two Trees,1700,agc018,https://beta.atcoder.jp/contests/agc018/tasks/agc018_f,2,256 MB
agc019_a,A - Ice Tea Store,300,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_a,2,256 MB
agc019_b,B - Reverse and Compare,500,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_b,2,256 MB
agc019_c,C - Fountain Walk,900,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_c,2,256 MB
agc019_d,D - Shift and Flip,1000,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_d,2,256 MB
agc019_e,E - Shuffle and Swap,1700,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_e,2,512 MB
agc019_f,F - Yes or No,2000,agc019,https://beta.atcoder.jp/contests/agc019/tasks/agc019_f,2,256 MB
agc020_a,A - Move and Win,300,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_a,1,512 MB
agc020_b,B - Ice Rink Game,500,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_b,2,512 MB
agc020_c,C - Median Sum,700,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_c,2,512 MB
agc020_d,D - Min Max Repetition,1100,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_d,2,512 MB
agc020_e,E - Encoding Subsets,1400,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_e,5,512 MB
agc020_f,F - Arcs on a Circle,2100,agc020,https://beta.atcoder.jp/contests/agc020/tasks/agc020_f,5,512 MB
arc001_1,A - センター採点,No Score,arc001,https://beta.atcoder.jp/contests/arc001/tasks/arc001_1,2,64 MB
arc001_2,B - リモコン,No Score,arc001,https://beta.atcoder.jp/contests/arc001/tasks/arc001_2,2,64 MB
arc001_3,C - パズルのお手伝い,No Score,arc001,https://beta.atcoder.jp/contests/arc001/tasks/arc001_3,2,64 MB
arc001_4,D - レースゲーム,No Score,arc001,https://beta.atcoder.jp/contests/arc001/tasks/arc001_4,2,64 MB
arc002_1,A - うるう年,No Score,arc002,https://beta.atcoder.jp/contests/arc002/tasks/arc002_1,2,64 MB
arc002_2,B - 割り切れる日付,No Score,arc002,https://beta.atcoder.jp/contests/arc002/tasks/arc002_2,2,64 MB
arc002_3,C - コマンド入力,No Score,arc002,https://beta.atcoder.jp/contests/arc002/tasks/arc002_3,2,64 MB
arc002_4,D - ボードゲーム,No Score,arc002,https://beta.atcoder.jp/contests/arc002/tasks/arc002_4,2,256 MB
arc003_1,A - GPA計算,No Score,arc003,https://beta.atcoder.jp/contests/arc003/tasks/arc003_1,2,64 MB
arc003_2,B - さかさま辞書,No Score,arc003,https://beta.atcoder.jp/contests/arc003/tasks/arc003_2,2,64 MB
